,S. No.,Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
0,1,Skyrim,Console (PS  Xbox  ...),15.0,I play for fun,having fun,Male,25,Unemployed / between jobs,Bachelor or equivalent,USA,Singleplayer,1,23,5.0
1,2,Other,PC,8.0,I play for fun,having fun,Male,41,Unemployed / between jobs,Bachelor or equivalent,USA,Multiplayer - online - with strangers,8,16,33.0
2,3,Other,PC,0.0,I play for fun,having fun,Female,32,Employed,Bachelor or equivalent,Germany,Singleplayer,8,17,31.0
3,4,Other,PC,20.0,I play for fun,improving,Male,28,Employed,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,0,17,11.0
4,5,Other,Console (PS  Xbox  ...),20.0,I play for fun,having fun,Male,19,Employed,High school diploma (or equivalent),South Korea,Multiplayer - online - with strangers,14,14,13.0
5,6,Other,Console (PS  Xbox  ...),4.0,I play for fun,relaxing,Male,24,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,1,17,13.0
6,7,Other,PC,30.0,I play for fun,relaxing,Male,29,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,0,16,26.0
7,8,Other,Console (PS  Xbox  ...),25.0,I play for fun,having fun,Female,23,Employed,Bachelor or equivalent,Japan,Singleplayer,0,23,
8,9,Other,Console (PS  Xbox  ...),2.0,I play for fun,winning,Female,23,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,12,12,55.0
9,10,World of Warcraft,PC,25.0,I play for fun,improving,Female,27,Employed,High school diploma (or equivalent),Finland,Multiplayer - online - with online acquaintances or teammates,10,13,26.0
10,11,Other,PC,14.0,I play for fun,having fun,Female,21,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,19,27,6.0
11,12,League of Legends,PC,25.0,I play for fun,having fun,Male,25,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,0,33,3.0
12,13,Other,PC,10.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,0,31,23.0
13,14,Other,Console (PS  Xbox  ...),25.0,I play for fun,relaxing,Male,19,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,3,26,29.0
14,15,Other,PC,30.0,I play for fun,having fun,Male,35,Employed,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,2,13,33.0
15,16,Other,PC,14.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Australia,Singleplayer,8,28,30.0
16,17,Other,Console (PS  Xbox  ...),4.0,I play for fun,having fun,Female,24,Unemployed / between jobs,Bachelor or equivalent,UK,Multiplayer - offline (people in the same room),4,15,36.0
17,18,Other,PC,20.0,I play for fun,improving  having fun,Male,30,Employed,Bachelor or equivalent,Bosnia and Herzegovina,all of the above,1,19,8.0
18,19,Skyrim,PC,10.0,I play for fun,relaxing,Male,29,Unemployed / between jobs,High school diploma (or equivalent),USA,Singleplayer,8,6,36.0
19,20,Other,Console (PS  Xbox  ...),6.0,I play for fun,relaxing,Male,22,Employed,Bachelor or equivalent,Ireland,Multiplayer - online - with strangers,0,31,11.0
20,21,Other,Console (PS  Xbox  ...),7.0,I play for fun,having fun,Female,20,Employed,High school diploma (or equivalent),Finland,Singleplayer,2,16,26.0
21,22,Starcraft 2,PC,60.0,I play for fun,improving,Male,24,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,15,9,37.0
22,23,Other,PC,10.0,I play for fun,having fun,Male,33,Employed,Ph.D.  Psy. D.  MD (or equivalent),Canada,Singleplayer,3,31,5.0
23,24,World of Warcraft,PC,21.0,I play for fun,having fun,Male,41,Employed,Bachelor or equivalent,UK,Multiplayer - online - with real life friends,0,35,0.0
24,25,Other,PC,20.0,I play for fun,having fun,Female,25,Unemployed / between jobs,Bachelor or equivalent,UK,Multiplayer - online - with real life friends,10,8,47.0
25,26,Other,PC,21.0,I play for fun,having fun,Male,26,Unemployed / between jobs,Master or equivalent,Malaysia,Singleplayer,4,7,20.0
26,27,Skyrim,PC,20.0,I play for fun,having fun,Female,20,Student at college / university,High school diploma (or equivalent),UK,Singleplayer,0,16,39.0
27,28,League of Legends,PC,5.0,I play for fun,having fun,Male,36,Employed,Bachelor or equivalent,Romania,Multiplayer - online - with strangers,5,26,31.0
28,29,Other,Console (PS  Xbox  ...),40.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,4,24,15.0
29,30,Other,PC,6.0,I play for fun,having fun,Male,18,Student at school,,USA,Multiplayer - offline (people in the same room),1,25,12.0
30,31,Other,PC,9.0,I play for fun,having fun,Male,18,Student at school,,USA,Multiplayer - online - with online acquaintances or teammates,6,16,14.0
31,32,Other,PC,18.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Sweden,Singleplayer,15,8,46.0
32,33,Other,PC,8.0,I play for fun,having fun,Male,26,Employed,Bachelor or equivalent,Canada,Multiplayer - online - with strangers,2,27,11.0
33,34,League of Legends,PC,9.0,I play for fun,improving,Female,23,Employed,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,0,26,39.0
34,35,Starcraft 2,PC,6.0,I play for fun,winning,Female,22,Unemployed / between jobs,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,2,25,60.0
35,36,League of Legends,PC,7.0,I play for fun,having fun,Male,25,Student at college / university,Master or equivalent,USA,Multiplayer - online - with strangers,1,21,29.0
36,37,Other,PC,18.0,I play for fun,having fun,Female,22,Student at college / university,High school diploma (or equivalent),Greece,Multiplayer - online - with real life friends,4,24,
37,38,Other,Console (PS  Xbox  ...),18.0,I play for fun,improving,Male,24,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,14,13,13.0
38,39,Other,Console (PS  Xbox  ...),10.0,I play for fun,having fun,Female,24,Student at college / university,High school diploma (or equivalent),Canada,Singleplayer,7,11,41.0
39,40,Other,PC,20.0,I play for fun,having fun,Male,21,Student at college / university,Master or equivalent,Ireland,Singleplayer,5,27,8.0
40,41,Other,PC,10.0,I play for fun,having fun,Female,18,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,14,17,24.0
41,42,Other,PC,10.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,4,15,9.0
42,43,Other,PC,12.0,I play for fun,having fun,Male,27,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,0,23,1.0
43,44,Counter Strike,PC,7.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,7,15,17.0
44,45,Other,Console (PS  Xbox  ...),5.0,I play for fun,winning,Male,24,Student at college / university,Bachelor or equivalent,Canada,Multiplayer - online - with real life friends,13,28,3.0
45,46,Counter Strike,PC,,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with online acquaintances or teammates,8,14,38.0
46,47,Other,PC,4.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),USA,Singleplayer,5,22,30.0
47,48,Other,PC,20.0,I play for fun,relaxing,Female,25,Employed,Bachelor or equivalent,USA,Singleplayer,7,20,24.0
48,50,League of Legends,PC,25.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,11,10,17.0
49,51,Other,Console (PS  Xbox  ...),18.0,I play for fun,having fun,Male,18,Student at college / university,,USA,Singleplayer,4,16,20.0
50,52,Other,PC,15.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Turkey,Multiplayer - online - with real life friends,2,20,12.0
51,53,League of Legends,PC,10.0,I play for fun,having fun,Male,28,Unemployed / between jobs,Bachelor or equivalent,UK,Multiplayer - online - with real life friends,1,13,11.0
52,54,Other,PC,30.0,I play for fun,having fun,Female,21,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,2,28,20.0
53,55,Other,Console (PS  Xbox  ...),11.0,I play for fun,having fun,Female,22,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,8,28,17.0
54,56,Other,PC,0.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,10,8,44.0
55,57,Counter Strike,PC,30.0,I play for fun,improving,Male,18,Student at school,,UK,Multiplayer - online - with real life friends,0,26,
56,59,Other,Console (PS  Xbox  ...),10.0,I play for fun,having fun,Male,24,Student at college / university,Master or equivalent,USA,Multiplayer - offline (people in the same room),0,31,6.0
57,60,Other,PC,20.0,I play for fun,having fun,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Canada,Multiplayer - online - with online acquaintances or teammates,6,7,13.0
58,61,Other,PC,0.0,I play for fun,having fun,Male,19,Student at college / university,,Canada,Singleplayer,9,20,27.0
59,62,Other,PC,40.0,I play for fun,having fun,Male,27,Employed,Bachelor or equivalent,Sweden,Singleplayer,0,30,35.0
60,63,Counter Strike,PC,18.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,4,25,4.0
61,64,World of Warcraft,PC,5.0,I play for fun,having fun,Female,30,Employed,Master or equivalent,Germany,Multiplayer - online - with strangers,9,27,38.0
62,65,Other,Console (PS  Xbox  ...),25.0,I play for fun,having fun,Female,18,Student at school,,UK,Multiplayer - online - with strangers,15,17,32.0
63,66,Other,PC,1.0,I play for fun,relaxing,Female,18,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,18,6,64.0
64,67,Other,Console (PS  Xbox  ...),14.0,I play for fun,relaxing,Male,22,Student at college / university,Bachelor or equivalent,USA,Singleplayer,19,10,64.0
65,68,Other,PC,2.0,I play for fun,relaxing,Female,24,Student at college / university,Bachelor or equivalent,Belgium,Singleplayer,6,28,25.0
66,69,Destiny,Console (PS  Xbox  ...),12.0,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,3,24,11.0
67,70,Other,PC,40.0,I play for fun,having fun,Male,19,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,0,31,
68,71,Other,PC,10.0,I play for fun,improving,Male,40,Employed,High school diploma (or equivalent),Canada,Singleplayer,7,16,54.0
69,72,Other,PC,10.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,0,25,68.0
70,73,Counter Strike,PC,7.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,10,35,21.0
71,74,Other,PC,25.0,I play for fun,All,Male,23,Employed,Bachelor or equivalent,USA,Singleplayer,1,31,3.0
72,75,Other,PC,10.0,I play for fun,winning,Male,24,Student at college / university,Bachelor or equivalent,Canada,Multiplayer - online - with strangers,16,14,61.0
73,76,League of Legends,PC,25.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Latvia,Multiplayer - online - with real life friends,19,29,47.0
74,77,Other,PC,25.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,11,16,15.0
75,78,Other,PC,10.0,I play for fun,improving,Male,23,Student at college / university,Bachelor or equivalent,Austria,Multiplayer - online - with real life friends,0,27,36.0
76,79,Other,PC,30.0,I play for fun,having fun,Male,21,Student at college / university,Bachelor or equivalent,UK,Multiplayer - online - with online acquaintances or teammates,4,22,0.0
77,80,League of Legends,PC,20.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Australia,Multiplayer - online - with real life friends,8,17,25.0
78,81,League of Legends,PC,40.0,I play for fun,winning,Male,21,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,21,12,45.0
79,82,Other,PC,5.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,0,25,13.0
80,83,Other,Console (PS  Xbox  ...),25.0,I play for fun,having fun,Female,34,Unemployed / between jobs,Master or equivalent,USA,Singleplayer,10,22,38.0
81,84,Other,Console (PS  Xbox  ...),10.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,9,24,5.0
82,85,Other,Smartphone / Tablet,5.0,I play for fun,having fun,Male,50,Employed,Master or equivalent,Japan,Singleplayer,0,29,7.0
83,86,League of Legends,PC,10.0,I play for fun,improving,Female,20,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,18,15,30.0
84,87,Other,PC,20.0,I play for fun,having fun,Female,21,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,7,20,30.0
85,88,Diablo 3,PC,45.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,3,25,30.0
86,89,Other,PC,11.0,I play for fun,having fun,Male,28,Employed,Master or equivalent,Canada,Singleplayer,8,30,30.0
87,90,Other,PC,12.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,5,27,11.0
88,91,Other,PC,25.0,I play for fun,improving,Male,24,Student at college / university,Bachelor or equivalent,Canada,Multiplayer - online - with strangers,8,11,34.0
89,92,Other,Smartphone / Tablet,9.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,18,23,
90,93,Starcraft 2,PC,6.0,I play for fun,relaxing,Male,22,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,4,14,13.0
91,94,League of Legends,PC,20.0,I play for fun,having fun,Male,19,Student at college / university,,USA,Multiplayer - online - with real life friends,8,23,13.0
92,95,Other,Console (PS  Xbox  ...),6.0,I play for fun,relaxing,Female,18,Student at school,High school diploma (or equivalent),USA,Singleplayer,12,7,11.0
93,96,Other,PC,20.0,I play for fun,I play it as I watch TV or movies.  I've gone through many a Netflix binge with Isaac.,Female,22,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,6,14,47.0
94,97,Other,Console (PS  Xbox  ...),10.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,17,13,31.0
95,99,Starcraft 2,PC,8.0,I play for fun,winning,Male,20,Student at college / university,Bachelor or equivalent,Germany,Multiplayer - online - with strangers,5,18,16.0
96,100,Starcraft 2,PC,25.0,I play for fun,winning,Male,18,Student at school,,UK,Multiplayer - online - with strangers,0,25,
97,101,Starcraft 2,PC,25.0,I play for fun,winning,Male,22,Employed,Bachelor or equivalent,South Africa,Multiplayer - online - with strangers,1,24,15.0
98,102,Starcraft 2,PC,16.0,for fun and to get better,improving,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,11,16,45.0
99,103,League of Legends,PC,20.0,I play for fun,improving,Male,27,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,1,23,15.0
100,104,Starcraft 2,PC,15.0,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,0,18,16.0
101,105,Other,PC,50.0,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Croatia,Multiplayer - online - with online acquaintances or teammates,0,29,5.0
102,106,League of Legends,PC,12.0,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,13,8,50.0
103,107,League of Legends,PC,28.0,I play for fun,having fun,Male,19,Unemployed / between jobs,High school diploma (or equivalent),Switzerland,Singleplayer,15,7,33.0
104,108,League of Legends,PC,25.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Croatia,Multiplayer - online - with strangers,3,19,21.0
105,109,League of Legends,PC,42.0,I play for fun,having fun,Male,27,Employed,Bachelor or equivalent,India,Multiplayer - Online - With real friends  and with online acquaintances  and strangers,0,30,15.0
106,110,League of Legends,PC,20.0,I play for fun,having fun,Female,21,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,15,8,21.0
107,111,League of Legends,PC,14.0,I play for fun,relaxing,Male,18,Student at college / university,High school diploma (or equivalent),Netherlands,Multiplayer - online - with online acquaintances or teammates,5,11,11.0
108,112,Starcraft 2,PC,80.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),Reaching goal i.e. GM ,Male,18,Student at college / university,,UK,Multiplayer - online - with strangers,9,15,37.0
109,113,League of Legends,PC,50.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,9,8,34.0
110,114,League of Legends,PC,40.0,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Denmark,Multiplayer - online - with online acquaintances or teammates,7,11,35.0
111,116,League of Legends,PC,10.0,I play for fun,having fun,Female,20,Employed,High school diploma (or equivalent),Portugal,Multiplayer - online - with real life friends,2,16,25.0
112,117,Starcraft 2,PC,10.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,22,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,2,30,12.0
113,118,League of Legends,PC,28.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,21,Student at college / university,Bachelor or equivalent,France,Multiplayer - online - with online acquaintances or teammates,4,19,4.0
114,119,League of Legends,PC,30.0,I play for fun,having fun,Male,20,Unemployed / between jobs,Bachelor or equivalent,France,Multiplayer - online - with real life friends,8,8,22.0
115,120,Heroes of the Storm,PC,20.0,I play for fun,having fun,Male,23,Student at college / university,High school diploma (or equivalent),France,Multiplayer - online - with strangers,8,11,33.0
116,121,League of Legends,PC,28.0,I play for fun,having fun,Male,21,Employed,High school diploma (or equivalent),UK,Multiplayer - online - with online acquaintances or teammates,17,5,34.0
117,122,League of Legends,PC,40.0,I play for fun,improving,Male,23,Unemployed / between jobs,High school diploma (or equivalent),Argentina,Multiplayer - online - with online acquaintances or teammates,4,17,26.0
118,123,League of Legends,PC,30.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Germany,Singleplayer,3,9,40.0
119,124,League of Legends,PC,30.0,I play for fun,winning,Male,18,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,13,29,46.0
120,125,Other,PC,30.0,I play for fun,improving,Female,20,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,2,23,17.0
121,126,League of Legends,PC,17.0,I play for fun,improving,Male,27,Employed,High school diploma (or equivalent),Estonia,Multiplayer - online - with strangers,6,17,11.0
122,127,League of Legends,PC,30.0,I play for fun,having fun,Male,20,Employed,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,3,19,6.0
123,128,League of Legends,PC,7.0,I play for fun,having fun,Male,34,Employed,Master or equivalent,Germany,Multiplayer - online - with strangers,4,22,18.0
124,129,Starcraft 2,PC,14.0,I play for fun,winning,Male,19,Unemployed / between jobs,High school diploma (or equivalent),Russia,Multiplayer - online - with online acquaintances or teammates,7,6,46.0
125,130,League of Legends,PC,30.0,I play for fun,having fun,Male,21,Student at college / university,Bachelor or equivalent,Czech Republic,Singleplayer,6,21,28.0
126,131,League of Legends,PC,25.0,I play for fun,having fun,Male,20,Unemployed / between jobs,Bachelor or equivalent,Netherlands,Multiplayer - online - with online acquaintances or teammates,3,12,
127,132,League of Legends,PC,10.0,I play for fun,having fun,Female,20,Student at college / university,High school diploma (or equivalent),Lithuania,With strangers and friends,5,31,27.0
128,133,World of Warcraft,PC,45.0,I play for fun,improving,Male,35,Employed,,Ireland,Multiplayer - online - with online acquaintances or teammates,7,22,43.0
129,135,League of Legends,PC,40.0,I play for fun,having fun,Female,18,Student at school,High school diploma (or equivalent),Norway,Multiplayer - online - with real life friends,11,27,7.0
130,136,League of Legends,PC,12.0,I play for fun,improving,Male,25,Employed,Ph.D.  Psy. D.  MD (or equivalent),Germany,Multiplayer - online - with real life friends,1,31,5.0
131,137,League of Legends,PC,16.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Japan,Multiplayer - online - with online acquaintances or teammates,7,21,14.0
132,138,Starcraft 2,PC,13.0,I play for fun,improving,Male,23,Student at college / university,Master or equivalent,Belgium,Multiplayer - online - with real life friends,6,31,19.0
133,139,Counter Strike,PC,20.0,I play for fun,having fun,Male,19,Student at school,,Switzerland,Multiplayer - online - with real life friends,1,13,13.0
134,140,League of Legends,PC,16.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,1,27,2.0
135,141,Other,Smartphone / Tablet,10.0,I play for fun,improving,Male,36,Employed,High school diploma (or equivalent),Canada,Singleplayer - online,18,12,30.0
136,142,League of Legends,PC,12.0,I play for fun,improving,Male,18,Employed,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,2,22,16.0
137,143,League of Legends,PC,21.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Croatia,Multiplayer - online - with real life friends,10,16,23.0
138,144,League of Legends,PC,5.0,I play for fun,having fun,Male,23,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,3,24,8.0
139,145,League of Legends,PC,40.0,I play for fun,improving,Male,22,Student at college / university,High school diploma (or equivalent),Finland,Multiplayer - online - with strangers,4,20,14.0
140,146,Starcraft 2,PC,10.0,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with online acquaintances or teammates,3,15,13.0
141,147,League of Legends,PC,11.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,18,Student at college / university,High school diploma (or equivalent),Singapore,Multiplayer - online - with online acquaintances or teammates,5,25,8.0
142,148,Other,PC,15.0,I play for fun,having fun,Male,25,Employed,High school diploma (or equivalent),UK,Singleplayer,2,14,35.0
143,149,League of Legends,PC,30.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Belgium,Multiplayer - online - with real life friends,5,25,36.0
144,150,League of Legends,PC,12.0,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Argentina,Multiplayer - online - with online acquaintances or teammates,9,20,32.0
145,151,Starcraft 2,PC,15.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,4,31,4.0
146,152,League of Legends,PC,30.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,24,Employed,High school diploma (or equivalent),Portugal,Multiplayer - online - with online acquaintances or teammates,2,26,12.0
147,153,Starcraft 2,PC,20.0,I play for fun,improving,Male,25,Employed,Master or equivalent,Romania,Multiplayer - online - with strangers,0,24,3.0
148,154,League of Legends,PC,30.0,I play for fun,winning,Male,23,Unemployed / between jobs,Bachelor or equivalent,Poland,Multiplayer - online - with strangers,0,22,2.0
149,155,League of Legends,PC,21.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,6,8,0.0
150,156,League of Legends,PC,50.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),relaxing,Male,21,Student at college / university,Bachelor or equivalent,Austria,Multiplayer - online - with strangers,3,13,22.0
151,157,League of Legends,PC,20.0,I play for fun,having fun,Male,23,Student at college / university,High school diploma (or equivalent),Netherlands,Multiplayer - online - with online acquaintances or teammates,1,18,3.0
152,158,League of Legends,PC,25.0,I play for fun,improving,Male,22,Employed,Bachelor or equivalent,Germany,Multiplayer - online - with real life friends,6,23,6.0
153,159,League of Legends,PC,17.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Argentina,Multiplayer - online - with strangers,1,27,10.0
154,160,League of Legends,PC,50.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),Improving AND having fun (kinda wish I could pick more than one),Male,18,Unemployed / between jobs,,Denmark,Multiplayer - online - with real life friends,1,31,10.0
155,161,Counter Strike,PC,80.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,29,Unemployed / between jobs,,UK,Multiplayer - online - with online acquaintances or teammates,1,15,1.0
156,162,Other,PC,15.0,I play for fun,relaxing,Male,39,Employed,Bachelor or equivalent,Sweden,Multiplayer - online - with online acquaintances or teammates,1,24,9.0
157,163,League of Legends,PC,10.0,I play for fun,improving,Male,25,Student at college / university,Bachelor or equivalent,Germany,Multiplayer - online - with real life friends,4,21,2.0
158,164,Starcraft 2,PC,10.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,21,Student at college / university,Master or equivalent,Denmark,Multiplayer - online - with strangers,11,14,23.0
159,165,League of Legends,PC,10.0,I play for fun,improving,Male,19,Employed,High school diploma (or equivalent),Sweden,Multiplayer - online - with online acquaintances or teammates,3,8,
160,166,Starcraft 2,PC,40.0,I play for fun,improving,Male,25,Employed,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,9,22,23.0
161,167,League of Legends,PC,10.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,0,28,1.0
162,168,Starcraft 2,PC,7.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,3,23,10.0
163,169,League of Legends,PC,25.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),China,Multiplayer - online - with strangers,7,15,41.0
164,170,League of Legends,PC,10.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Canada,Multiplayer - online - with online acquaintances or teammates,3,21,
165,171,League of Legends,PC,20.0,I play for fun,having fun,Male,23,Student at college / university,Bachelor or equivalent,Germany,Multiplayer - online - with real life friends,4,30,8.0
166,173,League of Legends,PC,14.0,I play for fun,improving,Male,29,Employed,Bachelor or equivalent,UK,Multiplayer - online - with real life friends,3,33,8.0
167,174,Starcraft 2,PC,30.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,22,Student at college / university,High school diploma (or equivalent),Netherlands,Multiplayer - online - with strangers,1,21,18.0
168,175,Starcraft 2,PC,15.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,29,Employed,Master or equivalent,France,Multiplayer - online - with online acquaintances or teammates,1,25,12.0
169,176,League of Legends,PC,13.0,I play for fun,winning,Male,18,Student at school,,Canada,Multiplayer - online - with real life friends,9,20,22.0
170,177,League of Legends,PC,20.0,I play for fun,improving,Male,18,Student at school,,USA,Multiplayer - online - with real life friends,4,17,26.0
171,178,League of Legends,PC,12.0,I play for fun,having fun,Male,25,Unemployed / between jobs,Bachelor or equivalent,UK,Multiplayer - online - with strangers,14,13,8.0
172,179,League of Legends,PC,35.0,I play for fun,relaxing,Male,21,Student at college / university,Bachelor or equivalent,Portugal,Multiplayer - online - with real life friends,3,17,48.0
173,180,League of Legends,PC,7.0,I play for fun,improving,Male,19,Student at college / university,,Unknown,Multiplayer - online - with real life friends,5,18,9.0
174,181,League of Legends,PC,30.0,I play for fun,improving,Male,21,Student at college / university,Bachelor or equivalent,Germany,Multiplayer - online - with real life friends,1,29,19.0
175,182,Destiny,Console (PS  Xbox  ...),14.0,I play for fun,having fun,Male,29,Employed,Ph.D.  Psy. D.  MD (or equivalent),UK,Multiplayer - online - with strangers,10,17,38.0
176,183,League of Legends,PC,10.0,I play for fun,having fun,Female,20,Student at college / university,High school diploma (or equivalent),Denmark,Multiplayer - online - with online acquaintances or teammates,6,17,34.0
177,184,League of Legends,PC,70.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,19,Student at college / university,High school diploma (or equivalent),Serbia,Singleplayer,2,13,4.0
178,185,League of Legends,PC,40.0,I play for fun,all of the above,Male,18,Student at school,High school diploma (or equivalent),Sweden,Multiplayer - online - with online acquaintances or teammates,11,12,26.0
179,186,Starcraft 2,PC,15.0,I play for fun,improving,Male,29,Employed,Ph.D.  Psy. D.  MD (or equivalent),Switzerland,Multiplayer - online - with strangers,0,31,0.0
