,S. No.,Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
1375,1444,League of Legends,PC,10.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Sweden,Multiplayer - online - with strangers,3,31,2.0
1376,1446,League of Legends,PC,14.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,0,17,6.0
1377,1447,League of Legends,PC,35.0,I play for fun,having fun,Male,18,Student at school,,Hungary,Multiplayer - online - with real life friends,2,24,4.0
1378,1448,League of Legends,PC,16.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,3,11,7.0
1379,1449,League of Legends,PC,7.0,I play for fun,having fun,Male,23,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,0,20,1.0
1380,1450,League of Legends,PC,20.0,I play for fun,having fun,Male,24,Unemployed / between jobs,Bachelor or equivalent,Netherlands,Multiplayer - online - with real life friends,4,27,
1381,1451,League of Legends,PC,10.0,I play for fun,having fun,Male,24,Employed,Bachelor or equivalent,Romania,Multiplayer - online - with online acquaintances or teammates,10,13,24.0
1382,1452,League of Legends,PC,10.0,I play for fun,improving,Male,18,Student at school,,USA,varying multiplayer online,0,20,9.0
1383,1453,League of Legends,PC,65.0,I play for fun,improving,Female,20,Student at college / university,High school diploma (or equivalent),Poland,Multiplayer - online - with strangers,2,24,48.0
1384,1454,League of Legends,PC,5.0,I play for fun,relaxing,Male,18,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,5,14,31.0
1385,1455,League of Legends,PC,15.0,I play for fun,improving,Male,29,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,2,30,9.0
1386,1456,League of Legends,PC,60.0,I play for fun,winning,Male,21,Student at school,High school diploma (or equivalent),Norway,Multiplayer - online - with strangers,1,12,19.0
1387,1457,League of Legends,PC,4.0,I play for fun,having fun,Male,28,Employed,Bachelor or equivalent,UK,Multiplayer - online - with strangers,20,14,14.0
1388,1458,League of Legends,PC,18.0,I play for fun,having fun,Male,21,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,0,29,
1389,1459,League of Legends,PC,21.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,23,Employed,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,7,16,10.0
1390,1460,Starcraft 2,PC,4.0,I play for fun,winning,Male,23,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with strangers,5,24,11.0
1391,1461,League of Legends,PC,30.0,I play for fun,improving,Male,23,Employed,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,2,14,22.0
1392,1462,League of Legends,PC,20.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,2,19,33.0
1393,1463,League of Legends,PC,5.0,I play for fun,having fun,Male,24,Employed,Bachelor or equivalent,Denmark,Multiplayer - online - with strangers,1,33,0.0
